model,metric,bootstrap_mean,ci_2.5_percent,ci_97.5_percent,valid_resamples
4_qubit_vqc,balanced_accuracy,0.6959879064776405,0.6145685144021488,0.7687271062271062,500
4_qubit_vqc,auc,0.8089844196934207,0.7273639169472503,0.8800525704763986,500
matched_logistic_regression,balanced_accuracy,0.8602268670211053,0.800618227285357,0.9136538461538461,500
matched_logistic_regression,auc,0.9240745322190609,0.873435547425021,0.9645773146042317,500
matched_small_mlp,balanced_accuracy,0.8602268670211053,0.800618227285357,0.9136538461538461,500
matched_small_mlp,auc,0.9249211271282866,0.8750997808033096,0.9651437023079971,500
