metric,n_shuffles,mean,std,min,max,q95
accuracy,50,0.5441666666666667,0.1604384758564709,0.15833333333333333,0.8333333333333334,0.79625
balanced_accuracy,50,0.5441666666666667,0.1604384758564709,0.15833333333333333,0.8333333333333334,0.79625
macro_f1,50,0.538399099933202,0.16178922553712272,0.15545954985715282,0.8325892857142857,0.7957524177026182
auc,50,0.5553888888888889,0.20701216761567978,0.0975,0.8930555555555555,0.8635694444444443
