dataset,model,accuracy,balanced_accuracy,macro_f1,auc
pneumoniamnist,full_feature_logistic,0.8,0.8,0.7955119214586255,0.8983264746227709
breastmnist,full_feature_logistic,0.7261904761904762,0.7261904761904762,0.725216896600768,0.7460317460317459
pathmnist,full_feature_logistic,0.25925925925925924,0.25925925925925924,0.2101034744249722,0.6648148148148149
