dataset,components,probe,variance_retained,reference_probability_shift,compressed_probability_shift,reference_flip_rate,compressed_flip_rate,response_ratio,response_distortion,diagnostic_information_preservation_score
pneumoniamnist,4,center_occlusion,0.5821903347969055,0.15492439184872633,0.013048339422917664,0.14444444444444443,0.0,0.08422391351659711,0.14187605242580867,0.15536264186837312
pneumoniamnist,4,texture_weakening,0.5821903347969055,0.05772024314054157,0.02446468748712997,0.06296296296296296,0.007407407407407408,0.42384927570503766,0.033255555653411595,0.5953570642087378
pneumoniamnist,4,boundary_weakening,0.5821903347969055,0.032900797874979744,0.019092925650693995,0.02962962962962963,0.007407407407407408,0.5803178366697097,0.013807872224285749,0.7344319923194662
pneumoniamnist,4,contrast_attenuation,0.5821903347969055,0.2608998515866527,0.3206029845620547,0.2814814814814815,0.4185185185185185,1.2288353953594293,0.05970313297540203,0.8973295945655024
pneumoniamnist,4,gaussian_like_noise,0.5821903347969055,0.08922419269053392,0.01574207248517651,0.0962962962962963,0.0,0.17643276163281016,0.07348212020535741,0.2999454340706048
pneumoniamnist,4,off_center_occlusion,0.5821903347969055,0.02043348479907793,0.19451729781853297,0.02962962962962963,0.18888888888888888,9.519531520731864,0.17408381301945502,0.19012248850301594
pneumoniamnist,8,center_occlusion,0.7194257378578186,0.15492439184872633,0.08048735025098575,0.14444444444444443,0.06296296296296296,0.5195266161464767,0.07443704159774059,0.6838006559408653
pneumoniamnist,8,texture_weakening,0.7194257378578186,0.05772024314054157,0.029090957461710115,0.06296296296296296,0.011111111111111112,0.5039991316544867,0.028629285678831454,0.6702121133870136
pneumoniamnist,8,boundary_weakening,0.7194257378578186,0.032900797874979744,0.02173136269412986,0.02962962962962963,0.011111111111111112,0.6605115222917072,0.011169435180849886,0.7955520517582114
pneumoniamnist,8,contrast_attenuation,0.7194257378578186,0.2608998515866527,0.2847822382627205,0.2814814814814815,0.37037037037037035,1.0915384796711964,0.02388238667606779,0.9562338829097379
pneumoniamnist,8,gaussian_like_noise,0.7194257378578186,0.08922419269053392,0.018106726116456497,0.0962962962962963,0.018518518518518517,0.20293514058352577,0.07111746657407741,0.337400063853304
pneumoniamnist,8,off_center_occlusion,0.7194257378578186,0.02043348479907793,0.2343401554179004,0.02962962962962963,0.22592592592592592,11.468432479228913,0.21390667061882246,0.16040504802341793
pneumoniamnist,16,center_occlusion,0.8325767517089844,0.15492439184872633,0.3552633305962666,0.14444444444444443,0.34444444444444444,2.2931399208702983,0.20033893874754025,0.6073230969560008
pneumoniamnist,16,texture_weakening,0.8325767517089844,0.05772024314054157,0.015357749389216163,0.06296296296296296,0.014814814814814815,0.2660721073385103,0.042362493751325406,0.42031127993577566
pneumoniamnist,16,boundary_weakening,0.8325767517089844,0.032900797874979744,0.012626378704479472,0.02962962962962963,0.018518518518518517,0.3837710840554016,0.020274419170500272,0.5546744551167235
pneumoniamnist,16,contrast_attenuation,0.8325767517089844,0.2608998515866527,0.18480617889412176,0.2814814814814815,0.23333333333333334,0.7083414217632388,0.07609367269253092,0.8292738581454939
pneumoniamnist,16,gaussian_like_noise,0.8325767517089844,0.08922419269053392,0.0197697067680452,0.0962962962962963,0.011111111111111112,0.22157336431029415,0.06945448592248872,0.36276727509362827
pneumoniamnist,16,off_center_occlusion,0.8325767517089844,0.02043348479907793,0.34970924264366776,0.02962962962962963,0.34444444444444444,17.114509587437215,0.32927575784458984,0.11040870308708195
pneumoniamnist,32,center_occlusion,0.9048988819122314,0.15492439184872633,0.20636658712623857,0.14444444444444443,0.21481481481481482,1.3320470156001778,0.05144219527751223,0.8576156149826454
pneumoniamnist,32,texture_weakening,0.9048988819122314,0.05772024314054157,0.019666307085546845,0.06296296296296296,0.007407407407407408,0.3407176167031329,0.03805393605499473,0.5082616937124689
pneumoniamnist,32,boundary_weakening,0.9048988819122314,0.032900797874979744,0.012888768674965512,0.02962962962962963,0.007407407407407408,0.3917462672631545,0.02001202920001423,0.562956665952436
pneumoniamnist,32,contrast_attenuation,0.9048988819122314,0.2608998515866527,0.18078490395971794,0.2814814814814815,0.2,0.6929283245314174,0.08011494762693475,0.818615098648849
pneumoniamnist,32,gaussian_like_noise,0.9048988819122314,0.08922419269053392,0.023992530852110037,0.0962962962962963,0.022222222222222223,0.26890159988681506,0.06523166183842388,0.42383374085020853
pneumoniamnist,32,off_center_occlusion,0.9048988819122314,0.02043348479907793,0.08996707227684103,0.02962962962962963,0.09259259259259259,4.4029214366649025,0.0695335874777631,0.37017001525049176
pneumoniamnist,64,center_occlusion,0.9486605525016785,0.15492439184872633,0.15197447154311763,0.14444444444444443,0.14444444444444443,0.980958904663133,0.0029499203056086998,0.9903879728426299
pneumoniamnist,64,texture_weakening,0.9486605525016785,0.05772024314054157,0.04047774443257781,0.06296296296296296,0.040740740740740744,0.7012745480173066,0.01724249870796376,0.824410892949983
pneumoniamnist,64,boundary_weakening,0.9486605525016785,0.032900797874979744,0.020546007265163223,0.02962962962962963,0.02962962962962963,0.6244833665858994,0.012354790609816521,0.7688395355753003
pneumoniamnist,64,contrast_attenuation,0.9486605525016785,0.2608998515866527,0.2177925426341871,0.2814814814814815,0.25555555555555554,0.8347744659950754,0.04310730895246559,0.9099477899119149
pneumoniamnist,64,gaussian_like_noise,0.9486605525016785,0.08922419269053392,0.03874731749268556,0.0962962962962963,0.03333333333333333,0.43426913689637703,0.05047687519784835,0.6055616505486567
pneumoniamnist,64,off_center_occlusion,0.9486605525016785,0.02043348479907793,0.124959943592147,0.02962962962962963,0.12222222222222222,6.115446467717596,0.10452645879306907,0.28107856895296
breastmnist,4,center_occlusion,0.5985615849494934,0.24223058857759114,0.17860095211410565,0.30952380952380953,0.40476190476190477,0.7373178828887562,0.06362963646348549,0.8488002233698945
breastmnist,4,texture_weakening,0.5985615849494934,0.1291652742637504,0.003113202953098211,0.11904761904761904,0.0,0.024102474367192765,0.1260520713106522,0.047070510384574216
breastmnist,4,boundary_weakening,0.5985615849494934,0.07123928170497311,0.0021843508667662194,0.047619047619047616,0.0,0.030662164298493905,0.0690549308382069,0.059500068104955894
breastmnist,4,contrast_attenuation,0.5985615849494934,0.2111772963755033,0.15287234190812415,0.19047619047619047,0.40476190476190477,0.7239051607008159,0.058304954467379155,0.8398433984423072
breastmnist,4,gaussian_like_noise,0.5985615849494934,0.18500214696145637,0.011406126530107821,0.19047619047619047,0.03571428571428571,0.061654019160891145,0.17359602043134853,0.11614715354505634
breastmnist,4,off_center_occlusion,0.5985615849494934,0.08433567176261023,0.16787478313206017,0.047619047619047616,0.34523809523809523,1.9905546457144616,0.08353911136944994,0.6687722240060974
breastmnist,8,center_occlusion,0.736713171005249,0.24223058857759114,0.2700070740056796,0.30952380952380953,0.5357142857142857,1.1146695569890652,0.027776485428088443,0.9457742237348367
breastmnist,8,texture_weakening,0.736713171005249,0.1291652742637504,0.0032921371516213133,0.11904761904761904,0.0,0.02548778621428107,0.1258731371121291,0.04970868549973517
breastmnist,8,boundary_weakening,0.736713171005249,0.07123928170497311,0.0026465392208336455,0.047619047619047616,0.0,0.03714999345858031,0.06859274248413946,0.07163874825989847
breastmnist,8,contrast_attenuation,0.736713171005249,0.2111772963755033,0.1428157448660166,0.19047619047619047,0.2976190476190476,0.676283580452863,0.06836155150948672,0.8068844818571157
breastmnist,8,gaussian_like_noise,0.736713171005249,0.18500214696145637,0.014023551629626943,0.19047619047619047,0.023809523809523808,0.07580209798607176,0.1709785953318294,0.14092206206826918
breastmnist,8,off_center_occlusion,0.736713171005249,0.08433567176261023,0.2975670761205851,0.047619047619047616,0.5238095238095238,3.5283650988698105,0.21323140435797486,0.4416604751956478
breastmnist,16,center_occlusion,0.8352855443954468,0.24223058857759114,0.19975554503257817,0.30952380952380953,0.39285714285714285,0.8246503381718417,0.04247504354501297,0.9038996037340123
breastmnist,16,texture_weakening,0.8352855443954468,0.1291652742637504,0.009990051211104264,0.11904761904761904,0.011904761904761904,0.07734315972010695,0.11917522305264615,0.14358136074357652
breastmnist,16,boundary_weakening,0.8352855443954468,0.07123928170497311,0.007542976442899638,0.047619047619047616,0.011904761904761904,0.1058822492808849,0.06369630526207347,0.19148931911281386
breastmnist,16,contrast_attenuation,0.8352855443954468,0.2111772963755033,0.11068176347807708,0.19047619047619047,0.23809523809523808,0.5241176970089255,0.10049553289742623,0.6877654156424937
breastmnist,16,gaussian_like_noise,0.8352855443954468,0.18500214696145637,0.016593617944316928,0.19047619047619047,0.03571428571428571,0.08969418636440044,0.16840852901713943,0.16462272537281952
breastmnist,16,off_center_occlusion,0.8352855443954468,0.08433567176261023,0.31286618831817786,0.047619047619047616,0.5,3.7097724448216347,0.22853051655556764,0.42464894108105244
breastmnist,32,center_occlusion,0.9046312570571899,0.24223058857759114,0.16207130743664572,0.30952380952380953,0.23809523809523808,0.6690785903529489,0.08015928114094542,0.8017341003133368
breastmnist,32,texture_weakening,0.9046312570571899,0.1291652742637504,0.03187439603594911,0.11904761904761904,0.03571428571428571,0.2467721587703307,0.0972908782278013,0.39585772868686675
breastmnist,32,boundary_weakening,0.9046312570571899,0.07123928170497311,0.014657055049514998,0.047619047619047616,0.011904761904761904,0.205743974971214,0.05658222665545811,0.34127318805323137
breastmnist,32,contrast_attenuation,0.9046312570571899,0.2111772963755033,0.12980968923231412,0.19047619047619047,0.2619047619047619,0.6146952599229295,0.08136760714318919,0.7613762161276869
breastmnist,32,gaussian_like_noise,0.9046312570571899,0.18500214696145637,0.0339506248585553,0.19047619047619047,0.05952380952380952,0.18351475148275503,0.15105152210290107,0.3101182782547529
breastmnist,32,off_center_occlusion,0.9046312570571899,0.08433567176261023,0.24945765540250803,0.047619047619047616,0.35714285714285715,2.957913544882301,0.1651219836398978,0.5053167176964453
breastmnist,64,center_occlusion,0.9549993872642517,0.24223058857759114,0.20998763511955057,0.30952380952380953,0.39285714285714285,0.8668914511734878,0.03224295345804057,0.9287004568691624
breastmnist,64,texture_weakening,0.9549993872642517,0.1291652742637504,0.04266649170915347,0.11904761904761904,0.047619047619047616,0.33032476142761535,0.08649878255459693,0.49660776032346365
breastmnist,64,boundary_weakening,0.9549993872642517,0.07123928170497311,0.030959874674107973,0.047619047619047616,0.047619047619047616,0.4345898721498197,0.04027940703086513,0.6058734287375769
breastmnist,64,contrast_attenuation,0.9549993872642517,0.2111772963755033,0.1420003577195299,0.19047619047619047,0.2261904761904762,0.6724224309738711,0.06917693865597341,0.804129916218713
breastmnist,64,gaussian_like_noise,0.9549993872642517,0.18500214696145637,0.05944042649002069,0.19047619047619047,0.047619047619047616,0.32129585657968623,0.12556172047143568,0.48633450563919334
breastmnist,64,off_center_occlusion,0.9549993872642517,0.08433567176261023,0.14395714856068334,0.047619047619047616,0.21428571428571427,1.706954228056125,0.059621476798073114,0.7388377168321886
pathmnist,4,center_occlusion,0.6215197443962097,0.4838323526431485,0.27348928186230154,0.5481481481481482,0.45925925925925926,0.5652562808495183,0.21034307078084696,0.7222539824301388
pathmnist,4,texture_weakening,0.6215197443962097,0.30388853562853335,0.003361275617053025,0.3851851851851852,0.018518518518518517,0.0110608828973823,0.30052726001148033,0.021879788918518717
pathmnist,4,boundary_weakening,0.6215197443962097,0.19391495479650997,0.0022012291150966573,0.22962962962962963,0.011111111111111112,0.011351517493281543,0.19171372568141332,0.022448264686278696
pathmnist,4,contrast_attenuation,0.6215197443962097,0.2015256063458435,0.031879932554088,0.1962962962962963,0.07407407407407407,0.15819295398842992,0.1696456737917555,0.2731720621411272
pathmnist,4,gaussian_like_noise,0.6215197443962097,0.3017948482426596,0.03394193389328302,0.40370370370370373,0.05185185185185185,0.11246690580126399,0.2678529143493766,0.20219374038422133
pathmnist,4,off_center_occlusion,0.6215197443962097,0.37810615010761794,0.31220643979771723,0.42962962962962964,0.5444444444444444,0.8257110640801406,0.06589971030990072,0.9045364226019665
pathmnist,8,center_occlusion,0.6704623103141785,0.4838323526431485,0.4651441146802087,0.5481481481481482,0.737037037037037,0.9613745391878151,0.01868823796293978,0.9803069534287604
pathmnist,8,texture_weakening,0.6704623103141785,0.30388853562853335,0.0044803480578688324,0.3851851851851852,0.014814814814814815,0.014743392346697764,0.2994081875706645,0.02905839823406553
pathmnist,8,boundary_weakening,0.6704623103141785,0.19391495479650997,0.00280384431362499,0.22962962962962963,0.007407407407407408,0.014459143555873997,0.19111111048288498,0.028506163963764375
pathmnist,8,contrast_attenuation,0.6704623103141785,0.2015256063458435,0.036584915780804673,0.1962962962962963,0.05925925925925926,0.18153977863548784,0.16494069056503882,0.30729359557556724
pathmnist,8,gaussian_like_noise,0.6704623103141785,0.3017948482426596,0.03657310865556651,0.40370370370370373,0.05925925925925926,0.12118532724026639,0.2652217395870931,0.21617361708809113
pathmnist,8,off_center_occlusion,0.6704623103141785,0.37810615010761794,0.4288863883982075,0.42962962962962964,0.7037037037037037,1.1343015101265113,0.05078023829058953,0.9370747122949141
pathmnist,16,center_occlusion,0.7219322323799133,0.4838323526431485,0.4646642438868715,0.5481481481481482,0.6851851851851852,0.9603827270843094,0.019168108756277003,0.9797910623777542
pathmnist,16,texture_weakening,0.7219322323799133,0.30388853562853335,0.007382190194849246,0.3851851851851852,0.011111111111111112,0.024292426618386178,0.2965063454336841,0.047432632401640085
pathmnist,16,boundary_weakening,0.7219322323799133,0.19391495479650997,0.004865863834893148,0.22962962962962963,0.003703703703703704,0.02509277115357898,0.18904909096161682,0.04895712396808516
pathmnist,16,contrast_attenuation,0.7219322323799133,0.2015256063458435,0.058340379918028505,0.1962962962962963,0.10740740740740741,0.289493618607319,0.14318522642781498,0.4490036076808507
pathmnist,16,gaussian_like_noise,0.7219322323799133,0.3017948482426596,0.04062444983600958,0.40370370370370373,0.07407407407407407,0.1346094829864374,0.26117039840665,0.23727899611710168
pathmnist,16,off_center_occlusion,0.7219322323799133,0.37810615010761794,0.3797836410444472,0.42962962962962964,0.5962962962962963,1.0044365342695072,0.001677490936829229,0.9977866294885097
