dataset,model,features,train_n,test_n,accuracy,balanced_accuracy,macro_f1,auc
pneumoniamnist,4_qubit_vqc,4,160,120,0.6916666666666667,0.6916666666666667,0.6752249286811499,0.8075
pneumoniamnist,matched_logistic_regression,4,160,120,0.8583333333333333,0.8583333333333334,0.8582447362935168,0.9222222222222222
pneumoniamnist,matched_small_mlp,4,160,120,0.8583333333333333,0.8583333333333334,0.8582447362935168,0.9230555555555555
pneumoniamnist,matched_dummy,4,160,120,0.5,0.5,0.3333333333333333,0.5
